medicine_id,commercial_name,price,date,sales
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-19,51
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-20,108
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-21,40
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-22,103
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-23,93
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-24,82
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-25,66
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-26,74
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-27,85
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-28,84
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-29,86
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-30,116
MED001,Paracétamol 500mg,2884.9053677404186,2025-08-31,92
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-01,72
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-02,70
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-03,116
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-04,101
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-05,98
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-06,67
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-07,75
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-08,46
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-09,98
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-10,64
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-11,123
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-12,94
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-13,55
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-14,108
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-15,69
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-16,48
MED001,Paracétamol 500mg,2884.9053677404186,2025-09-17,78
